timestamp,amount_lent,amount_used,rate
1472711487,2532.845897,2305.161117,14.6026
1472715101,2503.322707,2274.73674,14.3343
1472718681,2571.926212,2343.340246,15.0916
1472722302,2582.234745,2353.648778,15.2122
1472725884,2582.043232,2353.457265,15.2124
1472729499,2584.50509,2355.919123,15.3557
1472733083,2606.354661,2377.768694,15.6125
1472736687,2570.217021,2339.148383,15.2706
1472740284,2549.813168,2318.622068,15.2062
1472743898,2518.474212,2287.018484,15.1904
1472747482,2449.548015,2217.431709,14.6885
1472751091,2452.227385,2220.01108,14.6884
1472754705,2586.304774,2247.600218,14.6187
1472758308,2592.561611,2253.857055,14.5647
1472761880,2586.010695,2247.306139,14.5012
1472765497,2642.684741,2303.980185,14.5802
1472769107,2642.056151,2303.351595,14.5881
1472772698,2566.565521,2216.3772,14.5688
1472776293,2547.304145,2197.115824,14.4584
1472779909,2513.81103,2152.832234,13.8318
1472783501,2524.893455,2158.946549,13.6658
1472787105,2546.720253,2180.773347,13.6874
1472790710,2547.013255,2178.375366,13.6537
1472794283,2544.498653,2175.603809,13.6544
1472797898,2549.816841,2175.68671,13.6742
1472801510,2559.341149,2183.393006,13.6702
1472805109,2549.540663,2185.739271,13.3847
1472808711,2555.855452,2192.944064,13.359
1472812288,2562.256447,2199.345058,13.3593
1472815891,2562.465734,2199.554346,13.3363
1472819503,2620.184994,2256.401112,13.2982
1472823105,2963.765301,2598.736655,14.0549
1472826684,3006.33354,2641.304893,14.2852
1472830294,2972.842606,2607.81396,14.3945
1472833910,3031.66903,2666.640384,14.5014
1472837490,3024.781448,2659.752802,14.4807
1472841103,3034.250489,2669.221843,14.4471
1472844712,3030.188605,2649.583993,14.569
1472848299,3020.675305,2640.070693,14.5209
1472851902,2994.450844,2613.846232,14.4732
1472855509,2962.758023,2582.102043,14.3646
1472859086,3165.301093,2784.615114,14.7292
1472862698,3260.217571,2880.073049,14.9259
1472866309,3242.970442,2862.877697,14.9578
1472869887,3254.484313,2874.189534,15.0963
1472873489,3237.411709,2849.209741,15.1929
1472877082,3246.389083,2858.187115,15.3332
1472880708,3237.2452,2849.043232,15.3617
1472884304,3239.634217,2851.432249,15.3488
1472887915,3247.427641,2859.183896,15.359
1472891498,3229.800398,2856.330022,15.1343
1472895104,3252.735474,2879.265098,15.31
1472898705,3257.549303,2884.078926,15.3428
1472902300,3247.958166,2874.46429,15.2786
1472905900,3258.458068,2884.964193,15.3799
1472909503,3293.164648,2894.670773,15.3884
1472913083,3324.136198,2925.642323,15.6265
1472916695,3289.794678,2888.16426,15.3738
1472920283,3297.935394,2896.304976,15.4487
1472923907,3310.586761,2908.86942,15.572
1472927483,3405.948158,3053.669411,16.2146
1472931100,3964.464214,3597.948552,22.4493
1472934711,3334.02099,2957.818167,21.5591
1472938306,3109.458945,2733.256122,19.1483
1472941899,3122.06569,2572.412867,17.5818
1472945487,3072.344644,2522.691822,17.0949
1472949092,3065.793973,2516.132471,16.8279
1472952693,3063.482129,2522.692974,16.8534
1472956300,3063.701859,2569.504276,16.7873
1472959894,3066.812277,2579.491654,16.7886
1472963494,3060.000707,2572.680084,16.5009
1472967090,3173.590179,2686.269556,16.3685
1472970688,3197.268976,2709.948353,16.371
1472974304,3223.425301,2736.104677,16.3824
1472977882,3209.291629,2721.971006,16.3374
1472981504,3180.967662,2692.432046,15.954
1472985095,3155.311702,2666.776086,15.8822
1472988683,3126.424248,2637.888632,15.9269
1472992306,3133.50611,2644.970494,15.8744
1472995910,3216.669439,2726.793824,15.8053
1472999505,3161.648085,2671.77247,15.6484
1473003082,3173.504601,2681.687608,15.5089
1473006700,3162.326828,2674.213173,15.4689
1473010308,3153.680491,2665.566836,15.4091
1473013911,3135.578519,2642.016303,15.175
1473017507,3161.465787,2667.90357,15.1861
1473021112,3173.244711,2663.249331,15.1308
1473024710,3194.763626,2664.760272,15.127
1473028305,3197.571856,2667.568502,15.1273
1473031895,3198.050138,2668.046784,15.1239
1473035496,3177.564521,2674.457774,14.9881
1473039107,3233.280916,2730.223197,15.1689
1473042706,3230.009332,2726.951613,15.1433
1473046298,3284.972839,2781.91512,15.4542
1473049903,3294.585658,2791.527939,15.5643
1473053497,3294.59541,2791.537691,15.5924
1473057101,3353.615509,2850.55779,15.9827
1473060709,3332.636004,2829.578285,15.8721
1473064307,3331.358339,2828.30062,15.8587
1473067889,3334.365035,2831.276069,15.8563
1473071489,3297.042411,2793.953444,15.7775
1473075087,3276.064858,2768.31465,15.7261
1473078702,3246.75439,2738.98325,15.6703
1473082290,2938.804911,2382.922622,15.102
1473085903,2956.19628,2400.313991,15.057
1473089494,2990.289507,2434.407217,15.1639
1473093151,2984.792113,2428.909824,15.1396
1473096764,3001.781137,2444.053448,15.1175
1473100344,2974.841185,2417.071072,14.9383
1473103946,2885.220043,2327.740999,14.6233
1473107545,2913.801685,2306.073996,14.4056
1473111131,2916.028178,2314.932363,14.3779
1473114766,2977.261196,2376.165381,14.3266
1473118350,2985.813899,2389.608084,14.2286
1473121941,2983.015591,2386.917736,14.1576
1473125543,2990.696414,2394.598559,14.1432
1473129136,3014.280211,2418.182355,14.1136
1473132760,3029.768197,2433.670341,14.0837
1473136354,3061.34166,2465.243804,14.0838
1473139948,3061.90812,2466.761285,14.0804
1473143538,3053.253054,2458.106219,14.0678
1473147160,3068.340961,2473.194125,14.0271
1473150759,3073.790094,2478.643259,14.0068
1473154356,3062.054351,2466.907515,13.9945
1473157949,3083.521906,2488.375071,13.993
1473161576,3073.738475,2473.59164,13.9607
1473165179,3118.67951,2518.532674,13.9595
1473168773,3181.351783,2581.204948,13.8818
1473172379,3282.138427,2683.048191,13.8014
